ID	freq	lemma	PoS
2851	587	assalto	n
2861	584	alcance	n
2871	581	fornecedor	n
2881	578	inscrição	n
2891	576	parâmetro	n
2901	573	acelerar	v
2911	571	reprodução	n
2921	568	semelhança	n
2931	566	onze	m
2941	563	aderir	v
2951	560	implantação	n
2961	557	diminuição	n
2971	555	visconde	n
2981	552	mérito	n
2991	549	grão	n
3001	546	agradável	j
3011	544	atribuição	n
3021	542	acudir	v
3031	539	sublinhar	v
3041	537	cadáver	n
3051	535	concretizar	v
3061	533	sensibilidade	n
3071	531	couro	n
3081	529	hesitar	v
3091	527	anteontem	r
3101	524	asiático	j
3111	521	densidade	n
3121	518	violar	v
3131	516	digno	j
3141	512	harmonia	n
3151	510	probabilidade	n
3161	508	utilidade	n
3171	507	manga	n
3181	505	eficiente	j
3191	503	extinção	n
3201	501	prévio	j
3211	500	jóia	n
3221	498	potência	n
3231	496	assinalar	v
3241	494	nativo	j
3251	491	cinzento	j
3261	489	baixo	r
3271	486	tarifa	n
3281	483	condenado	n
3291	481	recado	n
3301	478	espada	n
3311	475	auxiliar	n
3321	473	noroeste	n
3331	472	dito	j
3341	470	ironia	n
3351	468	indiano	j
3361	465	posto	n
3371	463	ventre	n
3381	461	vingança	n
3391	457	electrão	n
3401	454	investigador	n
3411	452	semestre	n
3421	451	pulso	n
3431	449	dourado	n
3441	448	bonde	n
3451	446	perdão	n
3461	444	turístico	j
3471	442	ausente	j
3481	440	diagnóstico	n
3491	437	igualdade	n
3501	436	suspeitar	v
3511	433	abstracto	j
3521	431	inovação	n
3531	430	caminhão	n
3541	428	polémica	n
3551	426	disfarçar	v
3561	424	penal	j
3571	422	lã	n
3581	420	estúdio	n
3591	419	pretensão	n
3601	418	valorizar	v
3611	415	invisível	j
3621	413	gaveta	n
3631	412	lagoa	n
3641	410	horrível	j
3651	408	túmulo	n
3661	406	constantemente	r
3671	405	incrível	j
3681	403	lençol	n
3691	402	viii	m
3701	401	glândula	n
3711	400	cineasta	n
3721	398	coincidir	v
3731	397	escuridão	n
3741	396	simpático	j
3751	394	ascensão	n
3761	393	estabelecido	j
3771	392	intuito	n
3781	391	gerir	v
3791	389	desempregado	n
3801	387	enzima	n
3811	385	misto	n
3821	384	cego	j
3831	383	exposto	j
3841	381	secar	v
3851	379	desprezo	n
3861	378	alertar	v
3871	377	favela	n
3881	375	esforçar	v
3891	373	antiguidade	n
3901	371	docente	n
3911	370	salvação	n
3921	368	sanitário	j
3931	367	sérvio	j
3941	366	cova	n
3951	364	exibição	n
3961	362	contratado	n
3971	361	contrapartida	n
3981	360	tenente	n
3991	359	latim	n
4001	358	web	n
4011	357	cerrado	n
4021	356	bondade	n
4031	354	colorido	n
4041	353	molhado	n
4051	352	fim-de-semana	n
4061	351	linear	j
4071	349	calmo	j
4081	348	contratação	n
4091	344	xx_anta	n
4101	342	baleia	n
4111	341	assistente	n
4121	340	inconsciente	j
4131	338	fogueira	n
4141	337	mencionar	v
4151	335	marinheiro	n
4161	334	pinheiro	n
4171	332	sofá	n
4181	331	ente	n
4191	329	óptimo	j
4201	326	acusado	n
4211	325	desembarcar	v
4221	325	imobiliário	j
4231	324	comendador	n
4241	322	denominar	v
4251	321	caixão	n
4261	319	aprendizagem	n
4271	318	e	n
4281	317	regular	j
4291	315	advertir	v
4301	314	convívio	n
4311	313	irónico	j
4321	311	hemisfério	n
4331	310	defunto	j
4341	309	cautela	n
4351	308	hóspede	n
4361	306	bezerro	n
4371	305	paragem	n
4381	303	retratar	v
4391	302	irlandês	n
4401	301	ordinário	j
4411	300	indignação	n
4421	299	generalizado	n
4431	296	sacrificar	v
4441	295	responsabilizar	v
4451	294	estoque	n
4461	293	cavidade	n
4471	292	beiço	n
4481	291	côa	n
4491	290	soluço	n
4501	290	espiar	v
4511	288	limitado	j
4521	287	colina	n
4531	286	sacristão	n
4541	286	desordem	n
4551	285	nacionalidade	n
4561	284	quinhentos	m
4571	283	amplitude	n
4581	282	infante	n
4591	281	quieto	j
4601	280	plantação	n
4611	279	precário	j
4621	278	liberar	v
4631	277	reconstrução	n
4641	276	confrontar	v
4651	276	reformar	v
4661	274	emigrante	n
4671	274	chefiar	v
4681	272	elegância	n
4691	271	canhão	n
4701	271	serpente	n
4711	270	boletim	n
4721	269	repertório	n
4731	268	calado	j
4741	267	terapia	n
4751	267	trimestre	n
4761	266	pairar	v
4771	265	condenação	n
4781	264	garota	n
4791	263	aposentado	n
4801	262	enfatizar	v
4811	261	rodovia	n
4821	261	celeste	j
4831	260	inverter	v
4841	259	mágoa	n
4851	258	rolo	n
4861	258	terraço	n
4871	257	semanal	j
4881	256	desatar	v
4891	255	terno	n
4901	254	enquadrar	v
4911	254	pernambucano	j
4921	253	ás	n
4931	252	inscrever	v
4941	251	intuição	n
4951	251	receptor	n
4961	249	esboçar	v
4971	249	violeta	n
4981	248	armário	n
4991	247	preceder	v
5001	246	quadrilha	n
5011	245	dureza	n
5021	244	cunhado	n
5031	243	polaco	n
5041	243	homossexual	n
5051	242	astronauta	n
5061	241	vitamina	n
5071	240	reverter	v
5081	240	interrupção	n
5091	239	impressionante	j
5101	238	contagem	n
5111	237	opositor	n
5121	236	findar	v
5131	236	gradualmente	r
5141	235	mapeamento	n
5151	234	marfim	n
5161	233	convergência	n
5171	233	ambicioso	j
5181	232	rim	n
5191	231	providenciar	v
5201	231	distribuído	n
5211	230	socorrer	v
5221	229	obsessão	n
5231	228	vagamente	r
5241	227	comunismo	n
5251	227	anteceder	v
5261	226	empatar	v
5271	225	humidade	n
5281	225	parreira	n
5291	224	st	j
5301	223	consolar	v
5311	222	malandro	n
5321	221	sobrepor	v
5331	220	cancelar	v
5341	220	farol	n
5351	219	actualização	n
5361	219	jornalístico	j
5371	218	vão	j
5381	217	prosperidade	n
5391	217	epidemia	n
5401	216	pecar	v
5411	216	seguradora	n
5421	215	esquecido	j
5431	214	delicadeza	n
5441	214	tumulto	n
5451	213	cimo	n
5461	212	síria	n
5471	212	falecido	n
5481	211	perverso	j
5491	210	louça	n
5501	210	vossemecê	n
5511	209	alternar	v
5521	209	ficheiro	n
5531	208	mineração	n
5541	208	teclado	n
5551	207	explorador	n
5561	207	desfilar	v
5571	206	potencialidade	n
5581	206	maldade	n
5591	205	tolerar	v
5601	205	tripa	n
5611	204	regularmente	r
5621	204	tumor	n
5631	203	deliberação	n
5641	203	hormona	n
5651	202	humanitário	j
5661	201	ídolo	n
5671	200	marinha	n
5681	200	pressuposto	n
5691	199	mucosa	n
5701	198	algoritmo	n
5711	198	simulação	n
5721	197	impressora	n
5731	197	balbuciar	v
5741	196	rancor	n
5751	196	susceptível	j
5761	196	mutação	n
5771	195	derivado	j
5781	195	rentabilidade	n
5791	194	triângulo	n
5801	194	arquitectónico	j
5811	193	alegrar	v
5821	193	encaixar	v
5831	192	coçar	v
5841	192	petrolífero	j
5851	192	encarnado	n
5861	191	continuamente	r
5871	191	película	n
5881	190	interminável	j
5891	190	preocupante	j
5901	189	canteiro	n
5911	189	substrato	n
5921	188	dó	n
5931	188	conexão	n
5941	187	fluminense	j
5951	187	amarrado	n
5961	186	apalpar	v
5971	186	melhoramento	n
5981	185	distribuidora	n
5991	185	cozido	n
6001	184	louro	n
6011	184	fronte	n
6021	183	exótico	j
6031	183	névoa	n
6041	182	formoso	j
6051	182	toa	n
6061	181	estacar	v
6071	181	ex-governador	n
6081	181	relva	n
6091	180	anormal	j
6101	180	armadilha	n
6111	179	embrulho	n
6121	179	neurónio	n
6131	178	simbolizar	v
6141	178	neta	n
6151	177	azar	n
6161	177	mal-estar	n
6171	176	águia	n
6181	176	vestibular	n
6191	175	restituir	v
6201	175	inventor	n
6211	174	chip	n
6221	174	doirado	j
6231	173	abrangente	j
6241	173	recebimento	n
6251	172	porquanto	c
6261	172	pregão	n
6271	172	implicação	n
6281	171	supostamente	r
6291	171	lisboeta	j
6301	170	áureo	j
6311	169	periférico	j
6321	169	mineral	n
6331	168	sigla	n
6341	168	perdido	n
6351	168	filiar	v
6361	167	pulo	n
6371	167	frieza	n
6381	166	meigo	j
6391	166	dialogar	v
6401	166	lamentável	j
6411	165	freio	n
6421	165	primordial	j
6431	164	recrutamento	n
6441	164	lívido	j
6451	164	curtir	v
6461	163	gravitacional	j
6471	163	set	n
6481	163	confecção	n
