word,Freq
sociedade,326605
população,321012
condições,318595
pacientes,299165
qualidade,275354
problemas,263409
avaliação,245762
atividade,229959
principal,184802
estrutura,181411
professor,181215
resultado,177983
realidade,175786
políticas,170294
apresenta,166402
movimento,164177
processos,161374
diferença,156840
programas,148365
realizada,144335
trabalhos,141174
aplicação,137508
elementos,135957
interesse,132591
econômica,128182
realizado,127532
segurança,126176
objetivos,121828
município,118993
seguintes,118957
utilizado,115332
discussão,112409
contrário,108924
variáveis,108345
Francisco,106813
primeiros,103263
violência,103165
inclusive,102327
expressão,101797
econômico,100666
pesquisas,99589
linguagem,98640
situações,96739
indústria,93572
materiais,92503
presentes,89972
densidade,89728
liberdade,89559
exercício,89258
princípio,89077
significa,88727
políticos,87586
definição,87233
trabalhar,86311
tendência,86168
critérios,85148
diferente,85102
utilizada,83827
sobretudo,82647
candidato,82218
potencial,81558
indivíduo,80269
conceitos,80159
propostas,79312
comercial,77793
Argentina,77526
alimentos,76947
interação,76167
categoria,75616
pagamento,74231
constante,74169
respostas,73757
concepção,71816
culturais,71449
ambiental,70261
histórico,69748
nacionais,68970
exposição,68893
distância,68699
Horizonte,68423
abordagem,67726
documento,67017
encontrar,66875
fevereiro,66394
possíveis,64435
observado,62307
tentativa,60718
conhecido,60425
jogadores,59929
incluindo,59646
autonomia,59259
policiais,59125
indígenas,59044
operações,58947
conseguiu,58813
realmente,58687
aprovação,58683
verificar,58651
relatório,58219
primeiras,58088
entidades,57296
português,55207
percepção,55079
americano,54146
anteontem,53359
militares,53117
municipal,51494
considera,51266
confiança,50965
construir,50701
proporção,50304
dimensões,50270
novamente,49941
associada,49683
aconteceu,49431
eleitoral,49409
histórica,49096
conflitos,48781
masculino,48575
Rodrigues,48373
continuar,48288
constitui,48168
moradores,47771
conclusão,47753
televisão,47625
especiais,47399
alteração,47385
publicado,46899
filosofia,46891
posterior,46736
crescente,46413
estaduais,46283
observada,46174
aquisição,44831
conseguir,44163
conteúdos,43953
cidadania,43916
cobertura,43904
essencial,42940
associado,42190
mecanismo,41847
alimentar,41578
cotidiano,41334
conhecida,41139
escolares,40878
descrição,40705
enfrentar,40423
resolução,39976
prevenção,39815
segmentos,39671
currículo,39585
contratos,39346
intervalo,38931
variações,38899
existente,38830
ressaltar,38700
progresso,38375
fronteira,37722
adaptação,37582
responder,37500
eficiente,37372
mostraram,37343
regionais,37219
hospitais,37159
ampliação,37076
populares,36975
receberam,36931
liberação,36478
vantagens,36329
demonstra,35864
encontram,35832
compostos,35806
indicação,35580
ambientes,35438
profissão,35352
propósito,35302
avaliados,35243
transição,35108
estudados,35068
deputados,35047
registros,34889
histórias,34276
afirmação,33813
temporada,33726
relativos,33656
acidentes,33495
liderança,33338
estudante,33232
província,32766
discursos,32758
graduação,32615
perguntas,32525
companhia,32308
mostrando,32273
produzido,32056
funcional,31819
relevante,31763
concessão,31751
benefício,31630
separação,31530
conquista,31210
acontecer,30832
revolução,30800
argumento,30660
Gonçalves,30570
favorável,30548
relativas,30394
indicando,30226
referente,30177
fenômenos,30163
publicada,30042
variedade,29907
distintas,29862
positivos,29695
corrupção,29649
orçamento,29536
suspensão,29504
esperança,29114
trabalham,28903
igualdade,28869
proteínas,28857
casamento,28851
agrícolas,28850
americana,28699
prestação,28467
universal,28463
começaram,28321
conversão,28147
narrativa,28138
Guilherme,28108
distintos,28004
estudadas,27962
determina,27909
Fortaleza,27848
assegurar,27786
altamente,27671
produtivo,27534
exigência,27346
denúncias,27288
definidos,27241
Alexandre,27065
regressão,26999
controlar,26943
facilitar,26917
indicador,26906
ocorreram,26897
homenagem,26597
registrar,26390
impressão,26299
reeleição,26055
vegetação,26038
encontrou,25838
incentivo,25826
produtiva,25763
toneladas,25509
ocorrendo,25303
continuam,25214
sugestões,25174
organizar,25111
distinção,25110
hipóteses,25062
diretores,24958
diretoria,24877
permanece,24727
comparado,24686
organismo,24644
audiência,24579
empregado,24510
aplicados,24467
religiosa,24406
correntes,24368
aceitação,24348
parâmetro,24250
descritos,24093
negativos,23782
elaborado,23358
submetido,23111
gravidade,23109
dignidade,23101
ideologia,23043
