word,Freq
também,1285579
Brasil,1027976
quando,799622
outros,589424
apenas,564231
grande,495524
partir,483190
social,472500
estudo,453254
porque,445882
número,419536
contra,412350
outras,397732
região,379154
cidade,372213
acordo,359214
quanto,346853
sempre,346188
ensino,329309
alguns,328386
melhor,320804
alunos,295477
depois,295367
grupos,270083
modelo,268776
quatro,266388
escola,262767
função,251419
dentro,243111
países,234206
início,233844
estava,229320
espaço,214283
Carlos,213657
Grande,209989
medida,207788
pontos,188771
estado,187403
século,183630
efeito,180452
demais,175206
vários,174538
devido,172133
semana,169944
muitas,168680
muitos,164988
equipe,163567
níveis,163402
formas,163297
desses,160997
homens,160612
doença,158177
Santos,153801
acesso,152814
termos,152809
pessoa,149616
método,147544
afirma,147066
embora,144087
mulher,140791
último,140430
artigo,139202
cursos,138325
várias,136815
frente,136143
mostra,135393
Unidos,133633
existe,132166
parece,131311
década,124674
dessas,123892
última,122738
mínimo,121520
quadro,121490
origem,119220
classe,118899
alguma,118125
imagem,116831
gestão,116372
ocorre,115320
padrão,115047
passou,114972
objeto,113494
coisas,112696
apesar,112457
jovens,110511
índice,108556
nenhum,108204
Sérgio,108107
diante,107543
locais,107292
filhos,107081
centro,106892
possui,105748
futuro,105154
preços,104243
volume,103882
poderá,103701
teoria,101191
seguir,99498
manter,98972
humano,96804
defesa,96784
música,94040
França,93836
título,93736
custos,93073
regime,91999
deverá,91123
língua,91067
mesmos,89690
orador,88853
idéias,88137
abaixo,87090
humana,87076
normal,86865
evitar,85814
chegou,85653
tinham,85375
Gerais,84618
nossos,84429
agosto,84212
destes,83990
deixar,83071
médico,82611
jornal,82311
física,81738
livros,81421
textos,81369
chegar,80404
aquele,80350
guerra,78967
figura,78753
feitas,78515
Paraná,77547
talvez,76596
gênero,76475
órgãos,76149
regras,75456
partes,75195
debate,74874
máximo,74110
Europa,73946
poucos,73860
metade,72951
pensar,72426
fontes,72103
bancos,71514
versão,71122
passar,69767
altura,69622
tempos,69306
normas,68906
perfil,67970
testes,67851
cabeça,67552
edição,67011
coleta,66913
compra,66811
escala,66331
terras,66289
direta,66230
linhas,65544
seriam,65467
começa,65036
evento,64942
reação,64762
pedido,64724
dúvida,64538
âmbito,64391
aquela,64367
cinema,64104
possam,63893
amanhã,63359
tenham,62522
drogas,62256
tarefa,62003
refere,61910
animal,61824
dívida,61659
forças,60860
estilo,60464
nossas,59794
mesmas,59490
inglês,59294
motivo,58642
médias,58193
tentar,57884
planos,57636
entrar,57162
Itália,57102
sangue,57077
indica,56327
Recife,56225
contas,56043
limite,55978
básica,55969
destas,55962
alguém,55883
sinais,55825
amigos,55815
frutos,55339
pobres,55076
filmes,54975
leitor,54472
global,54441
índios,54415
Latina,54137
causas,53664
metros,52725
sexual,52625
lógica,52622
comuns,52581
folhas,52526
físico,52509
deixou,52108
sessão,52022
fiscal,51968
planta,51441
gerais,51423
acerca,51274
vendas,50636
atuais,49833
tabela,49651
oferta,49590
obtido,49514
código,49368
tensão,49240
tornar,49081
desejo,48929
dentre,48608
México,48474
agente,48176
atores,48019
razões,48006
teatro,47833
gastos,47686
página,47321
acabou,47308
bairro,47036
tratar,46958
espera,46915
quarto,46837
haviam,46293
aquilo,46138
mental,46078
buscar,46012
riscos,45362
direto,45024
máxima,44946
lesões,44843
tomada,44724
rurais,44709
criado,44703
exames,44702
matriz,44670
coluna,44602
fossem,44301
feitos,44051
recebe,43860
carros,43729
cadeia,43656
prisão,43456
campos,43419
autora,43307
ajudar,43255
querem,43035
viagem,42926
urbana,42811
usando,42611
comuna,42334
voltar,42049
linear,42034
ataque,41506
contar,41366
esteve,41321
médica,41287
inclui,41038
obtida,40865
revela,40857
perder,40803
visita,40798
margem,40678
ônibus,40616
presos,40602
formal,40534
aberto,40098
provas,39969
perdas,39953
milhão,39907
tecido,39854
Nelson,39467
visual,39450
teriam,39429
negros,39395
missão,39346
etapas,39340
adoção,39237
câncer,39069
branco,38753
sábado,38443
ensaio,38312
usados,38228
ganhar,38167
passam,38120
queria,38020
teores,37932
manejo,37909
mantém,37655
Lisboa,37651
aponta,37472
sugere,37421
papéis,37368
emenda,36803
urbano,36746
fundos,36724
esteja,36589
raízes,36533
ênfase,36450
camada,36323
perdeu,36308
álcool,36281
senhor,36112
Marcos,35836
membro,35806
séries,35721
básico,35620
rápido,35472
rápida,35373
Daniel,35261
enorme,35218
África,35211
nesses,35108
define,35091
antigo,34970
ajuste,34898
ganhou,34844
criada,34643
ameaça,34517
prédio,34465
postos,34222
certos,34175
mínima,34043
poucas,33985
antiga,33842
núcleo,33794
mortos,33559
avanço,33552
médios,33511
livres,33351
baixos,33288
Manoel,33218
formar,32998
finais,32941
haverá,32894
propõe,32780
trazer,32769
igreja,32743
Miguel,32546
fortes,32515
aberta,32459
status,32372
voltou,32303
marido,32232
crimes,32121
estará,32106
entrou,32103
produz,32052
corpos,31968
citado,31954
opções,31813
etária,31687
prazer,31644
idosos,31627
cargos,31579
alemão,31190
coloca,31136
tornou,31026
Israel,30950
Buenos,30841
graves,30813
câmbio,30775
jamais,30663
morreu,30568
eleito,30520
trecho,30445
esfera,30242
começo,30224
dispõe,30093
certas,29932
parede,29925
letras,29890
totais,29815
servir,29632
censos,29492
chance,29016
bilhão,28997
Itamar,28978
irmãos,28803
relato,28732
vítima,28729
vender,28546
desvio,28379
nasceu,28369
dentes,28360
Rússia,28287
graças,28218
ligado,28200
adesão,28170
marcas,28003
iguais,27964
chamar,27839
faixas,27835
seguro,27742
adição,27407
mortes,27350
clubes,27241
vistas,27015
cartas,27010
legais,26948
eficaz,26915
manual,26814
atraso,26812
contém,26791
canais,26730
blocos,26647
nessas,26640
surgiu,26594
assume,26522
requer,26510
parque,26296
fração,26249
levado,26212
minhas,26093
obteve,26001
aceita,25995
tantos,25861
prêmio,25846
lembra,25837
quarta,25812
vencer,25710
ligada,25636
ativos,25625
acabar,25570
houver,25570
diária,25411
sofreu,25362
Canadá,25118
quebra,24918
Manuel,24772
aceito,24723
cálcio,24674
anuais,24661
pacote,24545
sentir,24487
passos,24436
rotina,24374
baixas,24368
branca,24165
chegam,24134
diário,24094
Cristo,24039
juntos,24009
ganhos,23915
cortes,23912
causar,23821
ácidos,23541
trinta,23398
fêmeas,23393
mensal,23314
poesia,23204
sequer,23184
piloto,22881
acervo,22864
venceu,22853
fibras,22851
dietas,22778
exceto,22526
tendem,22420
versus,22404
tantas,22381
açúcar,22356
cuidar,22338
agenda,22260
adotar,22211
fechou,22185
falhas,22180
propor,22115
verbas,22061
usadas,21974
