word,Freq
entre,1691241
sobre,1440391
foram,1177376
Paulo,1075440
mesmo,813125
forma,768363
maior,763633
ainda,753968
muito,700566
tempo,628630
sendo,606878
todos,579801
parte,575431
estão,483149
pelos,466560
grupo,456304
assim,439753
outro,424525
disse,416135
dados,415674
fazer,415150
menos,402002
podem,401260
mundo,371531
saúde,358285
ontem,331398
final,314049
valor,312935
deste,312251
vezes,305563
desde,294458
total,292136
todas,291527
poder,289296
tanto,282600
pelas,282099
quais,281158
mesma,278687
média,277336
nível,277326
antes,275678
casos,271595
então,269768
ordem,256510
neste,252184
ponto,251673
geral,246848
seria,245327
pouco,241528
outra,239987
desse,230805
campo,230551
dessa,229561
desta,228790
tinha,227094
cerca,225742
ações,222915
lugar,221131
meses,220733
local,220593
idade,217491
nosso,217017
menor,216964
áreas,216763
havia,208403
papel,207202
curso,203319
Maria,203059
esses,202937
cinco,202768
agora,201016
estar,199079
dizer,198859
setor,198279
conta,196677
devem,196072
disso,195915
homem,195666
nossa,189982
quase,186248
texto,185281
horas,183484
longo,182916
vista,182477
autor,179658
novas,179248
novos,178852
minha,177554
falta,176966
risco,175946
essas,173549
série,168609
porém,167941
Silva,164596
apoio,162504
época,161584
idéia,160652
corpo,160547
tendo,159823
houve,159467
livro,157413
Porto,154810
Santa,153827
feito,153477
serão,152717
feita,152669
atual,152274
nesta,152230
serem,151550
gente,150338
acima,148529
saber,145530
nesse,144861
busca,144292
causa,141425
médio,140949
coisa,139203
comum,135950
morte,134666
razão,131752
força,130924
estes,129015
plano,128428
tenha,128192
sejam,125921
terra,124870
teste,123777
renda,122472
prazo,121428
linha,120808
crise,119677
junto,118633
visão,118525
teria,118495
nunca,117818
volta,116886
obras,115931
aluno,115567
único,115438
temos,113623
baixa,113598
deles,113531
Minas,113209
fosse,112552
ficou,112180
filme,111798
algum,110802
tipos,110594
custo,109397
Pedro,107699
passa,107527
forte,106448
União,104706
fator,102820
única,100640
noite,100217
torno,100186
fazem,99566
preço,99504
baixo,99084
certo,98833
falar,98434
estas,97129
nessa,96465
livre,96256
massa,95522
Norte,94598
reais,94359
queda,94347
ficar,93280
possa,92677
tarde,92183
março,89636
julho,89468
perda,89450
juros,89252
filho,88993
banco,87072
abril,85709
faixa,85189
Filho,84986
junho,84797
criar,83740
visto,83706
ambos,83545
meios,83358
levar,82610
claro,81131
exame,80866
termo,80822
venda,80445
capaz,79839
taxas,76676
Souza,76584
fonte,76541
civil,75031
trata,74386
Paris,73378
prova,73332
certa,72796
rural,72755
Santo,72749
ajuda,72408
obter,72152
igual,71945
tenho,70838
muita,70618
fundo,70365
carga,70297
delas,69485
carro,69476
marca,69347
favor,67722
corte,66699
ciclo,66485
etapa,66201
fluxo,65895
crime,65540
leite,65345
haver,65105
Jorge,64815
pagar,64110
cargo,64074
líder,63941
troca,63850
temas,63718
lista,62761
fatos,62237
órgão,62112
fácil,61836
jogos,61580
saída,61272
banda,61009
deixa,59435
passo,59306
norte,59259
chega,59105
opção,58835
Terra,58679
tomar,57322
milho,55854
ideal,55833
olhos,55793
vagas,55476
moral,55321
clube,55313
usado,55075
vamos,54819
votos,54487
manhã,54103
ácido,53710
quero,53309
torna,53288
casas,52978
sinal,52396
aulas,51024
nomes,50772
grave,50721
levou,50540
redes,50446
jovem,50437
atrás,49381
dando,48808
seção,48576
mudar,48049
legal,47941
estou,47571
André,47334
acaba,47221
olhar,47159
bases,46847
peças,46092
ampla,45696
noção,45401
Japão,45077
Jesus,44969
clima,44890
terem,43836
carta,43433
Mário,43405
amigo,43340
disco,43198
viver,43086
chefe,43009
festa,42910
perto,42860
ganho,42700
exige,42659
ética,41869
dizem,41767
altos,41756
erros,41549
redor,41539
Ceará,41438
longe,41262
turno,41194
dieta,41126
César,41081
fases,41018
doses,40989
carne,40801
curto,40750
posse,40658
clara,40484
filha,40280
armas,40272
águas,39826
Goiás,39776
mente,39142
canal,39108
posto,39091
anual,38913
caixa,38868
terão,38659
fazia,38650
prevê,38643
ritmo,38592
grãos,38131
ambas,37817
dólar,37723
lesão,37386
amplo,37356
segue,37117
gerar,36950
mídia,36832
solos,36772
China,36470
altas,36390
rádio,36036
moeda,35961
nobre,35849
usada,35819
vírus,35720
jogar,35669
greve,35637
abrir,35622
regra,35495
tenta,35285
chama,35266
ficam,35206
metas,35166
seres,35096
preso,35091
graus,34868
cujos,34789
longa,34655
lojas,34507
porta,34485
ganha,34313
lucro,34289
vigor,34262
dupla,34060
Média,34044
vinte,33902
ativa,33794
porte,33643
povos,33438
ferro,33187
pedir,33062
Aires,32991
podia,32862
pouca,32812
parto,32745
irmão,32732
fruto,32720
andar,32593
ouvir,32537
velho,32440
oeste,32379
nação,32234
criou,31809
atuar,31406
pediu,31184
notas,31179
gosto,31031
vocês,31028
entra,31018
morto,30760
Chile,30488
salas,30471
curva,30269
folha,29981
pobre,29918
somos,29912
negro,29817
vivem,29727
serve,29685
bloco,29579
votar,29530
breve,28954
tirar,28825
posso,28705
vídeo,28679
motor,28469
danos,28416
David,28355
calor,28331
cores,28077
cujas,27973
fotos,27921
praia,27700
norma,27411
dizia,27311
Natal,27310
Ramos,27305
reúne,27210
verde,26960
união,26954
modos,26936
resto,26753
tende,26733
sabia,26624
forem,26591
verão,26411
Vista,26352
surge,26336
dever,26319
varia,25942
sítio,25862
sonho,25718
custa,25630
vinha,25573
Marco,25571
lazer,25526
Paula,25511
arroz,25507
pauta,25370
turma,25224
casal,25223
sabem,25192
jeito,25189
enfim,25188
plena,25147
atriz,25132
apelo,25030
pleno,24785
frase,24762
perde,24626
álbum,24528
droga,24527
levam,24516
cases,24515
placa,24424
praça,24392
times,24387
atuam,24319
ativo,24148
poeta,24121
ratos,24053
chuva,24036
pares,23824
civis,23765
basta,23762
senão,23601
elite,23437
artes,23401
culpa,23336
senso,23277
Chico,23170
ricos,22878
sofre,22872
padre,22780
falou,22759
ração,22734
aérea,22648
avião,22567
leste,22547
lança,22452
ponta,22409
hotel,22377
genes,22307
deram,22221
ocupa,22198
mudou,22133
pista,22118
gasto,22112
negra,22076
renal,22075
fibra,21812
Belém,21657
aliás,21656
letra,21625
acaso,21610
lidar,21562
feliz,21424
falha,21407
chave,21389
palco,21301
sorte,21257
tomou,21186
pensa,21117
sódio,21081
Mauro,21005
safra,20973
parar,20725
dança,20489
óssea,20332
ramos,20224
Piauí,20156
tumor,20151
trigo,20147
multa,20082
metal,20012
lutas,20001
tiver,20000
aguda,19869
terço,19822
citar,19734
rosto,19579
Fábio,19551
vacas,19541
vivos,19430
humor,19425
sexta,19414
sério,19383
reduz,19372
golpe,19249
honra,19247
matar,19170
êxito,19115
velha,19114
Aécio,19094
abriu,19025
ponte,18849
vidas,18834
fusão,18804
notar,18780
areia,18680
vidro,18665
braço,18630
Índia,18625
daqui,18524
cenas,18388
cobre,18375
invés,18215
gosta,18161
lados,18144
sente,18081
Marta,18076
bolsa,17992
marco,17825
bruta,17803
febre,17387
justo,17358
alemã,17285
úteis,17262
subiu,17257
lotes,17249
cento,17217
comer,17211
samba,17198
rigor,17194
tanta,16978
penal,16944
curta,16918
dadas,16842
passe,16831
micro,16829
feira,16808
mudas,16732
justa,16689
zonas,16688
verba,16661
vimos,16583
tocar,16493
pegar,16411
trato,16306
vinho,16270
pedra,16243
abuso,16208
pesos,16133
medir,16096
vasos,16085
ondas,15894
tiros,15855
saldo,15809
vetor,15718
canto,15709
ótimo,15694
casca,15688
ótica,15671
larga,15511
vento,15455
óbito,15372
anexo,15256
bomba,15243
cópia,15242
museu,15234
duplo,15177
sexos,15171
bacia,15170
venha,15167
roupa,15065
porto,15062
afeta,15045
vemos,15025
lutar,14993
Bento,14990
graça,14959
negou,14942
Carla,14914
fugir,14864
Suíça,14853
censo,14818
acham,14761
fetal,14729
poema,14694
preto,14580
falam,14457
virou,14390
donos,14305
vazio,14295
subir,14269
corre,14198
impõe,14176
pagos,14088
russo,14069
raças,14019
peito,13997
disto,13909
soube,13804
teses,13702
índio,13697
laços,13686
achar,13538
solar,13522
exibe,13450
impor,13416
vindo,13413
devia,13358
culto,13339
vital,13322
ápice,13316
mapas,13258
negar,13255
Texas,13169
firme,13105
dores,13102
gerou,13067
gesto,13066
vozes,13016
pesca,12956
cesta,12951
vendo,12947
costa,12908
juízo,12895
barra,12773
lenta,12678
banho,12645
penas,12578
grade,12538
matou,12524
fique,12521
briga,12485
sabor,12471
faria,12470
Miami,12457
amiga,12377
laser,12355
pasta,12322
fraco,12259
major,12211
idoso,12207
herói,12205
polpa,12187
cheio,12180
ruído,12137
falas,12054
gases,12050
nasal,12041
bateu,12032
salto,12001
nisso,11886
traço,11860
Bruno,11855
viveu,11818
eixos,11817
rapaz,11739
tubos,11709
Elias,11666
bucal,11657
trama,11641
prata,11621
bispo,11590
preta,11559
opera,11547
datas,11540
ótima,11536
malha,11522
raios,11470
cunho,11447
reino,11425
sócio,11420
verbo,11387
peixe,11378
rumos,11370
morar,11335
lento,11334
supor,11326
vende,11271
cheia,11249
vence,11166
Amapá,11130
salvo,11100
edema,11085
dente,11051
largo,11050
vapor,11048
falsa,11048
conto,11025
bater,10999
falso,10968
fezes,10968
móvel,10938
ossos,10911
perna,10860
drama,10842
tênis,10778
fiéis,10773
expor,10669
tange,10632
males,10630
resta,10626
visam,10618
vazão,10538
vôlei,10465
rival,10419
daria,10374
dobro,10373
cotas,10362
diria,10352
roubo,10318
durou,10310
virar,10298
fixos,10269
pacto,10263
envio,10251
toque,10240
navio,10231
ilhas,10219
rever,10195
usina,10193
firma,10193
Jobim,10179
morre,10163
abate,10153
leves,10127
óbvio,10088
nasce,10074
valer,10027
fixar,10022
ficha,10016
fitas,10012
amido,10007
optar,9995
raras,9960
extra,9932
fomos,9920
agudo,9893
fauna,9883
leito,9866
faces,9841
bebês,9830
óxido,9823
ouviu,9822
jogou,9778
presa,9758
ético,9751
aorta,9746
venho,9727
geram,9725
uréia,9678
expõe,9661
sinto,9627
terça,9613
morro,9610
manda,9582
cobra,9564
lição,9521
apóia,9513
Nobel,9495
Jaime,9495
