word,Freq
trabalho,827090
processo,618852
produção,432834
primeiro,399571
política,385164
pesquisa,364872
primeira,333009
recursos,326789
educação,318099
possível,299152
empresas,294424
formação,293747
história,293417
qualquer,290592
controle,281057
crianças,278988
situação,250936
programa,241282
problema,238762
objetivo,238593
enquanto,230409
presente,228234
serviços,224931
presença,223222
nacional,207362
relações,206879
mulheres,202743
Brasília,201132
respeito,196476
ambiente,193533
produtos,192146
superior,190717
seguinte,181020
proposta,177315
conjunto,173227
portanto,170471
especial,168774
material,166631
Fernando,162451
aspectos,162407
economia,158953
conforme,156642
sistemas,153270
questões,150683
discurso,150642
natureza,148974
contexto,142067
externas,138220
direitos,137787
projetos,137503
dinheiro,136777
anterior,134563
diversos,131137
espécies,130430
resposta,128340
mudanças,128338
político,126340
bastante,125745
diversas,122034
condição,117897
práticas,115986
conceito,115901
amostras,111158
cultural,108709
palavras,108301
famílias,107991
ministro,107829
paciente,106400
interior,104922
técnicas,103364
públicos,102584
públicas,100090
dezembro,97840
campanha,97052
conteúdo,95999
unidades,90836
ausência,84213
setembro,82755
melhores,80454
evolução,80431
operação,80335
variação,79935
imprensa,79826
realizar,79096
sementes,77939
terceiro,77730
Campinas,77367
novembro,75256
familiar,74432
registro,73357
momentos,72453
inferior,71622
capítulo,71323
proteção,71171
abertura,71157
próprios,71023
encontro,69917
execução,69657
comércio,69612
aumentar,67640
expansão,67040
decisões,66667
garantir,65984
técnicos,65901
contrato,65439
hospital,65376
original,64936
esquerda,64599
deputado,64429
entender,64162
sujeitos,64154
análises,64075
pequenos,64019
acontece,63800
pretende,63606
fenômeno,63165
inflação,62309
continua,62134
extensão,62050
pequenas,61651
obtenção,60974
elemento,60402
estadual,60255
poderiam,60109
observar,59920
dimensão,59713
oposição,59584
infantil,59059
hipótese,58942
corrente,57571
carreira,57443
analisar,57372
naturais,57123
variável,57014
salários,56943
reflexão,56695
exterior,56694
entidade,56428
passagem,55870
prefeito,55847
agências,55625
encontra,55615
conhecer,55524
clientes,55456
comissão,55453
Alemanha,55348
próximos,54961
tradição,54936
Catarina,54795
eleições,54534
destaque,54462
soluções,54085
partidos,54063
produzir,54017
melhoria,54016
feminino,53802
completo,53788
terceira,53610
sintomas,53500
usuários,53385
promover,53132
próprias,52805
Portugal,52597
Salvador,52377
mediante,52336
regional,50774
infecção,50657
contendo,50637
períodos,50615
francesa,50435
negócios,50366
obrigado,50194
intenção,49958
paulista,49698
dinâmica,49633
discutir,49590
melhorar,49359
passaram,49083
critério,49017
espírito,48958
inclusão,48815
adequada,48583
proteína,48403
completa,47561
conflito,47349
críticas,46989
complexo,46818
relativa,45940
adequado,45735
veículos,45249
ocupação,45161
utilizar,44939
consiste,44697
reuniões,44673
explicar,44672
deveriam,44493
composto,44036
ciências,44018
culturas,43895
universo,43824
cirurgia,43723
permitir,43683
positivo,43188
passando,42984
aprender,42937
reformas,42817
perceber,42638
elétrica,42036
impostos,42032
positiva,42011
Amazônia,41970
definido,41761
exemplos,41727
resolver,41585
oferecer,41361
proposto,41285
agrícola,41280
despesas,41188
telefone,41126
vantagem,40776
oficiais,40525
pergunta,40478
promoção,40475
precisam,40355
diâmetro,40326
arterial,39881
aprovado,39841
acidente,39655
mercados,39619
definida,39491
governos,39276
consegue,39247
garantia,39202
federais,39147
eficácia,39117
daqueles,38870
empregos,38846
segmento,38497
pessoais,38477
escravos,38469
esforços,38464
evidente,38287
coletiva,38256
cidadãos,38146
escrever,38139
infância,37941
advogado,37843
trabalha,37715
posições,37617
correção,37437
atacante,37113
atitudes,36728
policial,36597
escritor,36551
medicina,36323
corporal,36278
software,36270
inserção,36250
parceria,36048
permitem,35681
composta,35493
tratados,35349
semestre,35196
artistas,34854
retirada,34575
trânsito,34498
descrito,34357
aplicado,34318
assuntos,33971
aumentou,33814
petróleo,33806
previsão,33751
iniciais,33629
cuidados,33599
integral,33472
recentes,33465
recebido,33403
aparelho,33250
jurídica,33138
docentes,33073
exclusão,32967
indígena,32882
acredita,32809
alcançar,32706
aplicada,32571
expressa,32561
elevação,32539
coletivo,32536
resíduos,32389
detalhes,32046
ocorrido,31788
produtor,31787
concluir,31594
diminuir,31538
espacial,31349
permitiu,30960
potência,30939
destacar,30925
absorção,30893
defender,30837
caminhos,30749
previsto,30682
negativo,30633
auxiliar,30608
Espírito,30401
religião,30401
mestrado,30221
máquinas,29910
plenário,29764
estímulo,29677
buscando,29675
reservas,29612
cobertos,29598
episódio,29596
concreto,29538
tradução,29520
elevados,29511
prejuízo,29445
diagrama,29214
informou,29211
consulta,29128
consenso,29105
pulmonar,28948
primário,28927
funciona,28915
deixando,28667
procurar,28626
negativa,28583
Amazonas,28544
isolados,28520
revistas,28514
genética,28499
distrito,28181
desafios,28146
colocado,28019
sentidos,27924
internos,27886
provável,27857
anunciou,27648
mensagem,27639
próximas,27541
orgânica,27525
chegaram,27419
centrais,27251
contínua,27208
chamados,27172
inovação,27000
gostaria,26905
milhares,26803
delegado,26723
aparecem,26680
referido,26558
absoluta,26501
aprovada,26483
capitais,26424
conversa,26178
externos,26163
reduzido,26055
relativo,26025
colonial,25990
estresse,25934
privadas,25906
Paraguai,25892
esquerdo,25889
investir,25861
colheita,25759
escolher,25752
reajuste,25736
cobrança,25621
temporal,25485
floresta,25461
alimento,25454
demandas,25430
prevista,25294
profunda,25223
detecção,25216
notícias,25199
fornecer,25198
clínicos,25162
fundação,25136
inúmeras,24954
feminina,24950
clássico,24788
jurídico,24755
precisão,24524
primária,24508
europeus,24453
Cristina,24427
tentando,24409
italiano,24292
clínicas,24193
descrita,24174
soldados,24118
imediato,24099
italiana,24036
concurso,23883
diabetes,23796
indicado,23785
declarou,23758
extração,23699
mecânica,23696
cardíaca,23689
chegando,23678
refletir,23643
receptor,23629
espanhol,23528
esperado,23522
mostrado,23409
queremos,23404
complexa,23360
estudado,23338
decorrer,23338
oxigênio,23327
imediata,23239
muscular,23172
salarial,23166
pressões,23120
internas,23112
segundos,23050
cultivar,22936
estudada,22928
utilizam,22865
denúncia,22836
leitores,22820
matérias,22765
validade,22764
escreveu,22754
urgência,22752
montagem,22660
tornando,22471
conselho,22466
estatais,22442
críticos,22405
reduzida,22377
circuito,22314
teóricos,22281
estradas,22280
privados,22202
Medeiros,22130
equações,22099
pertence,21910
estética,21861
receitas,21807
condução,21773
contínuo,21708
temática,21669
essência,21660
gerações,21626
resultou,21598
restante,21556
objetiva,21525
sensação,21523
parcelas,21520
vertical,21490
cerebral,21399
seguindo,21364
endereço,21318
arquivos,21182
ligações,21142
racional,21039
variando,20913
protesto,20841
envolvem,20823
estágios,20770
estariam,20767
gestação,20745
judicial,20731
realizou,20712
comparar,20649
sensível,20576
aparente,20574
químicos,20543
Colômbia,20486
suspeita,20405
referida,20384
Bernardo,20348
fracasso,20309
vascular,20308
silêncio,20286
enfrenta,20254
formando,20252
disseram,20239
escritos,20232
gravidez,20188
chamadas,20170
avaliada,20040
ingestão,20022
combater,20004
inúmeros,19995
avaliado,19948
vermelho,19912
provocar,19887
estimada,19883
maneiras,19852
ingresso,19682
emissora,19682
opiniões,19613
contagem,19549
costumes,19548
disposto,19182
carteira,19160
descreve,19142
ditadura,19005
impactos,18949
distante,18934
novidade,18907
eventual,18779
sindical,18749
projeção,18703
Rondônia,18634
elevadas,18589
genético,18581
observou,18552
elaborar,18457
proteger,18444
polêmica,18403
instante,18383
cálculos,18308
procurou,18289
hectares,18280
abandono,18263
senhores,18218
confusão,18104
desenhos,18080
adquirir,18067
responde,18042
Maurício,17964
radiação,17957
preparar,17952
surpresa,17892
dividido,17891
parentes,17868
Raimundo,17780
vizinhos,17726
morreram,17680
baseados,17590
poupança,17574
percurso,17538
integrar,17523
provocou,17510
clássica,17447
limitada,17445
estações,17442
elétrico,17422
créditos,17411
extinção,17370
orientar,17336
pudessem,17314
químicas,17314
doutrina,17308
didático,17305
minerais,17305
mantendo,17296
deixaram,17262
houvesse,17240
absoluto,17225
convênio,17219
plástico,17172
acusados,17142
vegetais,17128
sentença,17056
espectro,17022
oferecem,17010
partidas,16909
